Date;Tingkat Inflasi Dunia;Tingkat Inflasi Indonesia;Beras;Daging Ayam;Daging Sapi;Telur Ayam;Bawang Merah;Bawang Putih;Cabai Merah;Cabai Rawit;Minyak Goreng;Gula Pasir;Komoditi Pangan;Pertalite;Pertamax;Pertamax Turbo;Dexlite;Pertamina Dex;Komoditi Energi
Sep-22;10,30%;5,95%;11050;28200;126150;27700;28100;21400;51650;47650;17400;13500;37280;10000;14500;15900;17100;17400;14980
Aug-22;10,30%;4,69%;10850;28300;125850;27400;34850;21550;54650;50650;18100;13550;38575;7650;9000;14500;12950;13700;11560
Jul-22;10,20%;4,94%;10750;30200;125950;26650;50400;21850;66650;67900;19500;13600;43345;7650;9000;14500;12950;13700;11560
Jun-22;10,30%;4,35%;10750;31200;125500;26700;40150;21900;55050;62250;20750;13750;40800;7650;9000;14500;12950;13700;11560
May-22;9,60%;3,55%;10750;32600;126300;25300;31750;24400;36350;37700;21400;13900;36045;7650;9000;14500;12950;13700;11560
Apr-22;9,20%;3,47%;10800;31400;123300;23450;27150;25950;38200;40300;21100;13850;35550;7650;9000;14500;12950;13700;11560
Mar-22;9,22%;2,64%;10800;30000;120100;22250;28700;25100;42500;46800;16950;13500;35670;7650;9000;14500;12950;13700;11560
Feb-22;7,47%;2,06%;10850;29600;118100;21550;26700;24250;31650;40100;16650;13350;33280;7650;9000;14500;12950;13700;11560
Jan-22;6,78%;2,18%;10800;31650;117250;25450;23400;24100;32700;50450;18300;13050;34715;7650;9000;14500;12950;13700;11560
Dec-21;6,44%;1,87%;10700;28700;119700;23250;21100;23150;38550;54400;17850;12650;35005;7650;9000;12300;9500;11150;9920
Nov-21;6,30%;1,75%;10650;28600;117250;21650;20200;22850;30600;29050;16850;12600;31030;7650;9000;12300;9500;11150;9920
Oct-21;5,47%;1,66%;10600;28850;116900;20100;22050;23050;24700;30300;15350;12550;30445;7650;9000;12300;9500;11150;9920
Sep-21;5,10%;1,60%;10700;27600;117400;20800;22800;23150;19600;28950;14950;12550;29850;7650;9000;12300;9500;11150;9920
Aug-21;4,99%;1,59%;10650;25750;117150;22950;26750;24050;21850;34200;14550;12500;31040;7650;9000;12300;9500;11150;9920
Jul-21;4,99%;1,52%;10650;27700;117500;22850;25600;23400;27500;47300;14150;12500;32915;7650;9000;12300;9500;11150;9920
Jun-21;4,90%;1,33%;10700;30700;116300;23700;23850;23250;23800;37550;14100;12600;31655;7650;9000;12300;9500;11150;9920
May-21;4,88%;1,68%;10750;31200;117650;23400;24900;23700;31100;44300;13950;12700;33365;7650;9000;12300;9500;11150;9920
Apr-21;4,36%;1,42%;10750;29300;113700;22700;25550;23450;38850;54850;13550;12650;34535;7650;9000;12300;9500;11150;9920
Mar-21;3,74%;1,37%;10750;27800;112600;22650;27050;23050;38000;65700;13350;12700;35365;7650;9000;12300;9500;11150;9920
Feb-21;3,25%;1,38%;10800;27550;112350;22850;24700;22300;38750;60450;13250;12700;34570;7650;9000;12300;9500;11150;9920
Jan-21;2,99%;1,55%;10850;28650;112400;24150;25250;21700;42300;55700;13300;12800;34710;7650;9000;12300;9500;11150;9920
Dec-20;2,83%;1,68%;10800;28700;111700;25050;28750;22350;41250;39100;13000;12700;33340;7650;9600;10100;9500;10200;9410
Nov-20;2,73%;1,59%;10800;28150;111100;22800;29800;21650;33650;28950;12900;12700;31250;7650;9600;10100;9500;10200;9410
Oct-20;2,92%;1,44%;10850;25950;111100;21500;26050;20400;32700;24900;12800;12700;29895;7650;9600;10100;9500;10200;9410
Sep-20;2,97%;1,42%;10850;24950;111150;22250;23600;20050;23500;24350;12550;12800;28605;7650;9600;10100;9500;10200;9410
Aug-20;2,27%;1,32%;10900;25850;111650;23600;24750;16950;24600;25950;12400;13050;28970;7650;9600;10100;9500;10200;9410
Jul-20;2,99%;1,54%;10900;29500;111400;23650;30500;16600;23200;25500;12200;13450;29690;7650;9600;10100;9500;10200;9410
