"Bulan","Tingkat Inflasi Dunia","Tingkat Inflasi Indonesia","Beras","Daging Ayam","Daging Sapi","Telur Ayam","Bawang Merah","Bawang Putih","Cabai Merah","Cabai Rawit","Minyak Goreng","Gula Pasir","Komoditi Pangan","Pertalite","Pertamax","Pertamax Turbo","Dexlite","Pertamina Dex","Komoditi Energi"
September 2022,10.3,5.95,11050.0,28200.0,126150.0,27700.0,28100.0,21400.0,51650.0,47650.0,17400.0,13500.0,37280.0,10000.0,14500.0,15900.0,17100.0,17400.0,14980.0
August 2022,10.3,4.69,10850.0,28300.0,125850.0,27400.0,34850.0,21550.0,54650.0,50650.0,18100.0,13550.0,38575.0,7650.0,9000.0,14500.0,12950.0,13700.0,11560.0
July 2022,10.2,4.94,10750.0,30200.0,125950.0,26650.0,50400.0,21850.0,66650.0,67900.0,19500.0,13600.0,43345.0,7650.0,9000.0,14500.0,12950.0,13700.0,11560.0
June 2022,10.3,4.35,10750.0,31200.0,125500.0,26700.0,40150.0,21900.0,55050.0,62250.0,20750.0,13750.0,40800.0,7650.0,9000.0,14500.0,12950.0,13700.0,11560.0
May 2022,9.6,3.55,10750.0,32600.0,126300.0,25300.0,31750.0,24400.0,36350.0,37700.0,21400.0,13900.0,36045.0,7650.0,9000.0,14500.0,12950.0,13700.0,11560.0
April 2022,9.2,3.47,10800.0,31400.0,123300.0,23450.0,27150.0,25950.0,38200.0,40300.0,21100.0,13850.0,35550.0,7650.0,9000.0,14500.0,12950.0,13700.0,11560.0
March 2022,9.22,2.64,10800.0,30000.0,120100.0,22250.0,28700.0,25100.0,42500.0,46800.0,16950.0,13500.0,35670.0,7650.0,9000.0,14500.0,12950.0,13700.0,11560.0
February 2022,7.47,2.06,10850.0,29600.0,118100.0,21550.0,26700.0,24250.0,31650.0,40100.0,16650.0,13350.0,33280.0,7650.0,9000.0,14500.0,12950.0,13700.0,11560.0
January 2022,6.78,2.18,10800.0,31650.0,117250.0,25450.0,23400.0,24100.0,32700.0,50450.0,18300.0,13050.0,34715.0,7650.0,9000.0,14500.0,12950.0,13700.0,11560.0
December 2021,6.44,1.87,10700.0,28700.0,119700.0,23250.0,21100.0,23150.0,38550.0,54400.0,17850.0,12650.0,35005.0,7650.0,9000.0,12300.0,9500.0,11150.0,9920.0
